investor_id,gap_days,risk_flag
INV000084,155.0,AT_RISK
INV000085,300.0,AT_RISK
INV000086,167.0,AT_RISK
INV000087,202.0,AT_RISK
INV000088,9.0,ACTIVE
INV000089,177.0,AT_RISK
INV000090,249.0,AT_RISK
INV000091,105.0,AT_RISK
INV000092,14.0,ACTIVE
INV000093,91.0,AT_RISK
INV000094,95.0,AT_RISK
INV000095,155.0,AT_RISK
INV000096,2.0,ACTIVE
INV000097,183.0,AT_RISK
INV000098,103.0,AT_RISK
INV000099,206.0,AT_RISK
INV000100,275.0,AT_RISK
INV000101,197.0,AT_RISK
INV000102,109.0,AT_RISK
INV000103,232.0,AT_RISK
INV000104,247.0,AT_RISK
INV000105,87.0,AT_RISK
INV000106,112.0,AT_RISK
INV000107,200.0,AT_RISK
INV000108,71.0,AT_RISK
INV000109,63.0,AT_RISK
INV000110,194.0,AT_RISK
INV000111,,ACTIVE
INV000112,216.0,AT_RISK
INV000113,144.0,AT_RISK
INV000114,,ACTIVE
INV000115,218.0,AT_RISK
INV000116,282.0,AT_RISK
INV000117,126.0,AT_RISK
INV000118,152.0,AT_RISK
INV000119,142.0,AT_RISK
INV000120,223.0,AT_RISK
INV000121,170.0,AT_RISK
INV000122,,ACTIVE
INV000123,142.0,AT_RISK
INV000124,344.0,AT_RISK
INV000125,123.0,AT_RISK
INV000126,,ACTIVE
INV000127,,ACTIVE
INV000128,181.0,AT_RISK
INV000129,256.0,AT_RISK
INV000130,170.0,AT_RISK
INV000131,123.0,AT_RISK
INV000132,139.0,AT_RISK
INV000133,265.0,AT_RISK
INV000134,106.0,AT_RISK
INV000135,238.0,AT_RISK
INV000136,,ACTIVE
INV000137,150.0,AT_RISK
INV000138,220.0,AT_RISK
INV000139,,ACTIVE
INV000140,157.0,AT_RISK
INV000141,,ACTIVE
INV000143,237.0,AT_RISK
INV000144,265.0,AT_RISK
INV000145,282.0,AT_RISK
INV000146,171.0,AT_RISK
INV000147,216.0,AT_RISK
INV000148,168.0,AT_RISK
INV000150,176.0,AT_RISK
INV000151,219.0,AT_RISK
INV000152,,ACTIVE
INV000153,97.0,AT_RISK
INV000154,90.0,AT_RISK
INV000155,99.0,AT_RISK
INV000156,344.0,AT_RISK
INV000158,144.0,AT_RISK
INV000159,218.0,AT_RISK
INV000160,69.0,AT_RISK
INV000161,213.0,AT_RISK
INV000162,435.0,AT_RISK
INV000163,80.0,AT_RISK
INV000164,208.0,AT_RISK
INV000165,249.0,AT_RISK
INV000166,368.0,AT_RISK
INV000167,195.0,AT_RISK
INV000168,,ACTIVE
INV000169,145.0,AT_RISK
INV000170,18.0,ACTIVE
INV000171,98.0,AT_RISK
INV000172,298.0,AT_RISK
INV000173,165.0,AT_RISK
INV000174,315.0,AT_RISK
INV000175,170.0,AT_RISK
INV000176,204.0,AT_RISK
INV000177,278.0,AT_RISK
INV000178,230.0,AT_RISK
INV000179,85.0,AT_RISK
INV000180,229.0,AT_RISK
INV000181,286.0,AT_RISK
INV000182,182.0,AT_RISK
INV000183,216.0,AT_RISK
INV000184,,ACTIVE
INV000185,196.0,AT_RISK
INV000189,216.0,AT_RISK
INV000190,97.0,AT_RISK
INV000191,161.0,AT_RISK
INV000192,208.0,AT_RISK
INV000193,392.0,AT_RISK
INV000194,109.0,AT_RISK
INV000195,114.0,AT_RISK
INV000196,176.0,AT_RISK
INV000197,,ACTIVE
INV000198,,ACTIVE
INV000199,153.0,AT_RISK
INV000200,244.0,AT_RISK
INV000201,100.0,AT_RISK
INV000202,348.0,AT_RISK
INV000203,98.0,AT_RISK
INV000204,48.0,AT_RISK
INV000205,193.0,AT_RISK
INV000206,,ACTIVE
INV000207,238.0,AT_RISK
INV000208,,ACTIVE
INV000209,,ACTIVE
INV000210,163.0,AT_RISK
INV000211,214.0,AT_RISK
INV000212,,ACTIVE
INV000213,163.0,AT_RISK
INV000214,306.0,AT_RISK
INV000215,388.0,AT_RISK
INV000216,107.0,AT_RISK
INV000217,183.0,AT_RISK
INV000218,,ACTIVE
INV000219,217.0,AT_RISK
INV000220,253.0,AT_RISK
INV000221,60.0,AT_RISK
INV000222,59.0,AT_RISK
INV000223,172.0,AT_RISK
INV000224,138.0,AT_RISK
INV000225,175.0,AT_RISK
INV000226,100.0,AT_RISK
INV000227,182.0,AT_RISK
INV000228,188.0,AT_RISK
INV000229,102.0,AT_RISK
INV000230,112.0,AT_RISK
INV000231,87.0,AT_RISK
INV000232,,ACTIVE
INV000233,,ACTIVE
INV000234,340.0,AT_RISK
INV000235,140.0,AT_RISK
INV000236,112.0,AT_RISK
INV000237,,ACTIVE
INV000238,287.0,AT_RISK
INV000239,105.0,AT_RISK
INV000240,,ACTIVE
INV000241,144.0,AT_RISK
INV000242,119.0,AT_RISK
INV000243,137.0,AT_RISK
INV000244,38.0,AT_RISK
INV000245,164.0,AT_RISK
INV000246,117.0,AT_RISK
INV000248,,ACTIVE
INV000249,162.0,AT_RISK
INV000251,223.0,AT_RISK
INV000252,96.0,AT_RISK
INV000253,,ACTIVE
INV000254,249.0,AT_RISK
INV000255,103.0,AT_RISK
INV000256,155.0,AT_RISK
INV000257,197.0,AT_RISK
INV000258,,ACTIVE
INV000259,165.0,AT_RISK
INV000260,206.0,AT_RISK
INV000261,234.0,AT_RISK
INV000262,122.0,AT_RISK
INV000263,271.0,AT_RISK
INV000264,,ACTIVE
INV000265,140.0,AT_RISK
INV000266,109.0,AT_RISK
INV000267,200.0,AT_RISK
INV000268,143.0,AT_RISK
INV000269,180.0,AT_RISK
INV000270,130.0,AT_RISK
INV000271,342.0,AT_RISK
INV000272,228.0,AT_RISK
INV000273,,ACTIVE
INV000274,175.0,AT_RISK
INV000275,17.0,ACTIVE
INV000276,187.0,AT_RISK
INV000277,,ACTIVE
INV000278,354.0,AT_RISK
INV000279,133.0,AT_RISK
INV000280,191.0,AT_RISK
INV000281,,ACTIVE
INV000282,53.0,AT_RISK
INV000283,195.0,AT_RISK
INV000284,162.0,AT_RISK
INV000285,140.0,AT_RISK
INV000286,215.0,AT_RISK
INV000287,301.0,AT_RISK
INV000288,218.0,AT_RISK
INV000289,142.0,AT_RISK
INV000290,,ACTIVE
INV000291,196.0,AT_RISK
INV000292,95.0,AT_RISK
INV000293,91.0,AT_RISK
INV000294,164.0,AT_RISK
INV000295,8.0,ACTIVE
INV000296,158.0,AT_RISK
INV000297,163.0,AT_RISK
INV000298,122.0,AT_RISK
INV000299,240.0,AT_RISK
INV000300,131.0,AT_RISK
INV000301,111.0,AT_RISK
INV000302,,ACTIVE
INV000303,280.0,AT_RISK
INV000304,204.0,AT_RISK
INV000305,110.0,AT_RISK
INV000306,115.0,AT_RISK
INV000307,162.0,AT_RISK
INV000308,212.0,AT_RISK
INV000309,157.0,AT_RISK
INV000310,164.0,AT_RISK
INV000311,287.0,AT_RISK
INV000312,203.0,AT_RISK
INV000313,310.0,AT_RISK
INV000314,171.0,AT_RISK
INV000315,183.0,AT_RISK
INV000316,184.0,AT_RISK
INV000317,250.0,AT_RISK
INV000318,175.0,AT_RISK
INV000319,201.0,AT_RISK
INV000320,119.0,AT_RISK
INV000321,204.0,AT_RISK
INV000322,206.0,AT_RISK
INV000323,111.0,AT_RISK
INV000325,227.0,AT_RISK
INV000326,220.0,AT_RISK
INV000327,50.0,AT_RISK
INV000328,73.0,AT_RISK
INV000329,163.0,AT_RISK
INV000330,196.0,AT_RISK
INV000331,163.0,AT_RISK
INV000332,64.0,AT_RISK
INV000333,379.0,AT_RISK
INV000334,60.0,AT_RISK
INV000335,279.0,AT_RISK
INV000336,150.0,AT_RISK
INV000337,297.0,AT_RISK
INV000338,,ACTIVE
INV000339,195.0,AT_RISK
INV000340,60.0,AT_RISK
INV000341,191.0,AT_RISK
INV000342,,ACTIVE
INV000343,248.0,AT_RISK
INV000344,55.0,AT_RISK
INV000345,,ACTIVE
INV000346,,ACTIVE
INV000347,,ACTIVE
INV000348,284.0,AT_RISK
INV000349,156.0,AT_RISK
INV000350,85.0,AT_RISK
INV000351,158.0,AT_RISK
INV000352,225.0,AT_RISK
INV000353,,ACTIVE
INV000354,262.0,AT_RISK
INV000355,,ACTIVE
INV000356,157.0,AT_RISK
INV000357,88.0,AT_RISK
INV000358,,ACTIVE
INV000359,197.0,AT_RISK
INV000360,184.0,AT_RISK
INV000361,108.0,AT_RISK
INV000363,153.0,AT_RISK
INV000364,142.0,AT_RISK
INV000366,234.0,AT_RISK
INV000367,116.0,AT_RISK
INV000368,,ACTIVE
INV000369,112.0,AT_RISK
INV000370,257.0,AT_RISK
INV000371,147.0,AT_RISK
INV000372,121.0,AT_RISK
INV000373,48.0,AT_RISK
INV000374,246.0,AT_RISK
INV000376,,ACTIVE
INV000377,202.0,AT_RISK
INV000378,196.0,AT_RISK
INV000379,74.0,AT_RISK
INV000380,272.0,AT_RISK
INV000381,,ACTIVE
INV000382,,ACTIVE
INV000383,203.0,AT_RISK
INV000384,133.0,AT_RISK
INV000385,147.0,AT_RISK
INV000386,,ACTIVE
INV000387,161.0,AT_RISK
INV000388,119.0,AT_RISK
INV000389,209.0,AT_RISK
INV000390,211.0,AT_RISK
INV000391,,ACTIVE
INV000392,205.0,AT_RISK
INV000393,43.0,AT_RISK
INV000394,242.0,AT_RISK
INV000395,119.0,AT_RISK
INV000396,153.0,AT_RISK
INV000397,205.0,AT_RISK
INV000399,68.0,AT_RISK
INV000400,101.0,AT_RISK
INV000401,32.0,ACTIVE
INV000402,172.0,AT_RISK
INV000403,90.0,AT_RISK
INV000404,,ACTIVE
INV000405,65.0,AT_RISK
INV000406,,ACTIVE
INV000407,157.0,AT_RISK
INV000408,125.0,AT_RISK
INV000409,375.0,AT_RISK
INV000410,198.0,AT_RISK
INV000411,101.0,AT_RISK
INV000412,70.0,AT_RISK
INV000413,317.0,AT_RISK
INV000414,233.0,AT_RISK
INV000415,128.0,AT_RISK
INV000416,119.0,AT_RISK
INV000417,268.0,AT_RISK
INV000418,238.0,AT_RISK
INV000419,201.0,AT_RISK
INV000420,,ACTIVE
INV000421,202.0,AT_RISK
INV000422,,ACTIVE
INV000423,265.0,AT_RISK
INV000424,,ACTIVE
INV000425,70.0,AT_RISK
INV000426,39.0,AT_RISK
INV000427,116.0,AT_RISK
INV000428,164.0,AT_RISK
INV000429,187.0,AT_RISK
INV000430,264.0,AT_RISK
INV000431,168.0,AT_RISK
INV000432,306.0,AT_RISK
INV000433,166.0,AT_RISK
INV000434,,ACTIVE
INV000435,,ACTIVE
INV000436,170.0,AT_RISK
INV000437,295.0,AT_RISK
INV000438,184.0,AT_RISK
INV000439,59.0,AT_RISK
INV000440,162.0,AT_RISK
INV000441,151.0,AT_RISK
INV000442,375.0,AT_RISK
INV000443,373.0,AT_RISK
INV000444,129.0,AT_RISK
INV000445,129.0,AT_RISK
INV000446,101.0,AT_RISK
INV000449,70.0,AT_RISK
INV000450,,ACTIVE
INV000452,123.0,AT_RISK
INV000453,243.0,AT_RISK
INV000454,420.0,AT_RISK
INV000455,75.0,AT_RISK
INV000456,75.0,AT_RISK
INV000457,256.0,AT_RISK
INV000458,187.0,AT_RISK
INV000459,195.0,AT_RISK
INV000460,107.0,AT_RISK
INV000461,90.0,AT_RISK
INV000462,79.0,AT_RISK
INV000463,181.0,AT_RISK
INV000465,236.0,AT_RISK
INV000466,135.0,AT_RISK
INV000467,272.0,AT_RISK
INV000468,,ACTIVE
INV000469,183.0,AT_RISK
INV000470,401.0,AT_RISK
INV000471,185.0,AT_RISK
INV000472,,ACTIVE
INV000473,245.0,AT_RISK
INV000474,203.0,AT_RISK
INV000475,90.0,AT_RISK
INV000476,18.0,ACTIVE
INV000477,,ACTIVE
INV000478,61.0,AT_RISK
INV000479,99.0,AT_RISK
INV000480,189.0,AT_RISK
INV000481,286.0,AT_RISK
INV000482,202.0,AT_RISK
INV000483,252.0,AT_RISK
INV000484,,ACTIVE
INV000485,270.0,AT_RISK
INV000487,215.0,AT_RISK
INV000488,222.0,AT_RISK
INV000489,76.0,AT_RISK
INV000490,231.0,AT_RISK
INV000491,202.0,AT_RISK
INV000492,286.0,AT_RISK
INV000493,201.0,AT_RISK
INV000494,162.0,AT_RISK
INV000495,64.0,AT_RISK
INV000496,175.0,AT_RISK
INV000497,191.0,AT_RISK
INV000498,,ACTIVE
INV000499,157.0,AT_RISK
INV000500,193.0,AT_RISK
INV000501,129.0,AT_RISK
INV000502,,ACTIVE
INV000503,,ACTIVE
INV000504,,ACTIVE
INV000505,120.0,AT_RISK
INV000506,80.0,AT_RISK
INV000507,249.0,AT_RISK
INV000509,107.0,AT_RISK
INV000510,190.0,AT_RISK
INV000511,206.0,AT_RISK
INV000512,112.0,AT_RISK
INV000513,103.0,AT_RISK
INV000514,158.0,AT_RISK
INV000516,,ACTIVE
INV000517,39.0,AT_RISK
INV000518,,ACTIVE
INV000519,208.0,AT_RISK
INV000520,89.0,AT_RISK
INV000521,73.0,AT_RISK
INV000522,309.0,AT_RISK
INV000523,206.0,AT_RISK
INV000524,91.0,AT_RISK
INV000525,126.0,AT_RISK
INV000526,58.0,AT_RISK
INV000527,116.0,AT_RISK
INV000528,,ACTIVE
INV000529,110.0,AT_RISK
INV000530,142.0,AT_RISK
INV000531,82.0,AT_RISK
INV000532,102.0,AT_RISK
INV000533,225.0,AT_RISK
INV000534,,ACTIVE
INV000535,349.0,AT_RISK
INV000536,25.0,ACTIVE
INV000537,200.0,AT_RISK
INV000538,60.0,AT_RISK
INV000539,153.0,AT_RISK
INV000540,123.0,AT_RISK
INV000541,56.0,AT_RISK
INV000542,336.0,AT_RISK
INV000543,218.0,AT_RISK
INV000544,159.0,AT_RISK
INV000545,181.0,AT_RISK
INV000546,154.0,AT_RISK
INV000547,140.0,AT_RISK
INV000548,245.0,AT_RISK
INV000549,146.0,AT_RISK
INV000550,410.0,AT_RISK
INV000551,192.0,AT_RISK
INV000552,191.0,AT_RISK
INV000553,172.0,AT_RISK
INV000554,171.0,AT_RISK
INV000555,58.0,AT_RISK
INV000556,156.0,AT_RISK
INV000557,294.0,AT_RISK
INV000558,113.0,AT_RISK
INV000559,72.0,AT_RISK
INV000560,70.0,AT_RISK
INV000561,,ACTIVE
INV000562,197.0,AT_RISK
INV000563,198.0,AT_RISK
INV000564,162.0,AT_RISK
INV000565,181.0,AT_RISK
INV000566,119.0,AT_RISK
INV000567,166.0,AT_RISK
INV000568,180.0,AT_RISK
INV000569,285.0,AT_RISK
INV000570,186.0,AT_RISK
INV000571,,ACTIVE
INV000572,261.0,AT_RISK
INV000573,154.0,AT_RISK
INV000574,6.0,ACTIVE
INV000575,155.0,AT_RISK
INV000576,190.0,AT_RISK
INV000577,81.0,AT_RISK
INV000578,164.0,AT_RISK
INV000579,,ACTIVE
INV000580,158.0,AT_RISK
INV000581,160.0,AT_RISK
INV000583,55.0,AT_RISK
INV000584,191.0,AT_RISK
INV000585,121.0,AT_RISK
INV000586,111.0,AT_RISK
INV000587,112.0,AT_RISK
INV000588,,ACTIVE
INV000589,90.0,AT_RISK
INV000590,182.0,AT_RISK
INV000591,112.0,AT_RISK
INV000592,268.0,AT_RISK
INV000593,179.0,AT_RISK
INV000594,,ACTIVE
INV000595,174.0,AT_RISK
INV000596,140.0,AT_RISK
INV000597,198.0,AT_RISK
INV000598,188.0,AT_RISK
INV000599,171.0,AT_RISK
INV000600,156.0,AT_RISK
INV000601,119.0,AT_RISK
INV000602,229.0,AT_RISK
INV000603,236.0,AT_RISK
INV000604,194.0,AT_RISK
INV000605,,ACTIVE
INV000606,215.0,AT_RISK
INV000607,209.0,AT_RISK
INV000608,324.0,AT_RISK
INV000609,87.0,AT_RISK
INV000611,121.0,AT_RISK
INV000612,169.0,AT_RISK
INV000613,236.0,AT_RISK
INV000614,3.0,ACTIVE
INV000615,139.0,AT_RISK
INV000616,230.0,AT_RISK
INV000617,,ACTIVE
INV000618,7.0,ACTIVE
INV000619,73.0,AT_RISK
INV000620,,ACTIVE
INV000621,350.0,AT_RISK
INV000622,293.0,AT_RISK
INV000623,238.0,AT_RISK
INV000624,53.0,AT_RISK
INV000625,134.0,AT_RISK
INV000626,187.0,AT_RISK
INV000627,,ACTIVE
INV000628,304.0,AT_RISK
INV000629,276.0,AT_RISK
INV000630,161.0,AT_RISK
INV000631,145.0,AT_RISK
INV000632,,ACTIVE
INV000633,183.0,AT_RISK
INV000634,147.0,AT_RISK
INV000635,240.0,AT_RISK
INV000636,77.0,AT_RISK
INV000637,48.0,AT_RISK
INV000638,246.0,AT_RISK
INV000639,129.0,AT_RISK
INV000640,,ACTIVE
INV000641,126.0,AT_RISK
INV000642,139.0,AT_RISK
INV000643,299.0,AT_RISK
INV000644,13.0,ACTIVE
INV000645,127.0,AT_RISK
INV000646,138.0,AT_RISK
INV000647,,ACTIVE
INV000648,88.0,AT_RISK
INV000649,294.0,AT_RISK
INV000650,260.0,AT_RISK
INV000651,304.0,AT_RISK
INV000652,262.0,AT_RISK
INV000653,164.0,AT_RISK
INV000654,,ACTIVE
INV000656,197.0,AT_RISK
INV000657,106.0,AT_RISK
INV000658,191.0,AT_RISK
INV000659,228.0,AT_RISK
INV000660,102.0,AT_RISK
INV000661,227.0,AT_RISK
INV000662,185.0,AT_RISK
INV000663,247.0,AT_RISK
INV000664,149.0,AT_RISK
INV000665,148.0,AT_RISK
INV000666,170.0,AT_RISK
INV000667,134.0,AT_RISK
INV000668,339.0,AT_RISK
INV000669,,ACTIVE
INV000670,143.0,AT_RISK
INV000671,218.0,AT_RISK
INV000672,33.0,ACTIVE
INV000673,235.0,AT_RISK
INV000674,,ACTIVE
INV000675,155.0,AT_RISK
INV000676,106.0,AT_RISK
INV000677,,ACTIVE
INV000678,140.0,AT_RISK
INV000679,123.0,AT_RISK
INV000680,158.0,AT_RISK
INV000681,246.0,AT_RISK
INV000682,374.0,AT_RISK
INV000683,137.0,AT_RISK
INV000684,212.0,AT_RISK
INV000685,,ACTIVE
INV000686,,ACTIVE
INV000687,223.0,AT_RISK
INV000688,81.0,AT_RISK
INV000689,110.0,AT_RISK
INV000690,134.0,AT_RISK
INV000691,163.0,AT_RISK
INV000692,,ACTIVE
INV000693,378.0,AT_RISK
INV000695,229.0,AT_RISK
INV000696,193.0,AT_RISK
INV000698,219.0,AT_RISK
INV000699,147.0,AT_RISK
INV000700,93.0,AT_RISK
INV000701,298.0,AT_RISK
INV000702,287.0,AT_RISK
INV000703,286.0,AT_RISK
INV000704,246.0,AT_RISK
INV000705,247.0,AT_RISK
INV000706,221.0,AT_RISK
INV000707,106.0,AT_RISK
INV000708,222.0,AT_RISK
INV000709,128.0,AT_RISK
INV000710,264.0,AT_RISK
INV000711,247.0,AT_RISK
INV000713,177.0,AT_RISK
INV000714,95.0,AT_RISK
INV000715,154.0,AT_RISK
INV000716,,ACTIVE
INV000717,282.0,AT_RISK
INV000718,118.0,AT_RISK
INV000719,185.0,AT_RISK
INV000720,217.0,AT_RISK
INV000721,67.0,AT_RISK
INV000722,179.0,AT_RISK
INV000723,398.0,AT_RISK
INV000724,227.0,AT_RISK
INV000725,92.0,AT_RISK
INV000726,151.0,AT_RISK
INV000727,25.0,ACTIVE
INV000728,85.0,AT_RISK
INV000729,196.0,AT_RISK
INV000730,,ACTIVE
INV000731,19.0,ACTIVE
INV000732,130.0,AT_RISK
INV000733,355.0,AT_RISK
INV000734,180.0,AT_RISK
INV000735,306.0,AT_RISK
INV000736,181.0,AT_RISK
INV000737,168.0,AT_RISK
INV000738,63.0,AT_RISK
INV000739,82.0,AT_RISK
INV000740,,ACTIVE
INV000741,151.0,AT_RISK
INV000742,213.0,AT_RISK
INV000743,243.0,AT_RISK
INV000744,135.0,AT_RISK
INV000745,309.0,AT_RISK
INV000746,209.0,AT_RISK
INV000747,205.0,AT_RISK
INV000748,175.0,AT_RISK
INV000749,190.0,AT_RISK
INV000750,84.0,AT_RISK
INV000751,193.0,AT_RISK
INV000752,269.0,AT_RISK
INV000753,186.0,AT_RISK
INV000754,103.0,AT_RISK
INV000755,229.0,AT_RISK
INV000756,157.0,AT_RISK
INV000757,226.0,AT_RISK
INV000758,223.0,AT_RISK
INV000759,156.0,AT_RISK
INV000760,148.0,AT_RISK
INV000761,173.0,AT_RISK
INV000762,118.0,AT_RISK
INV000763,,ACTIVE
INV000764,299.0,AT_RISK
INV000765,142.0,AT_RISK
INV000766,247.0,AT_RISK
INV000767,227.0,AT_RISK
INV000768,124.0,AT_RISK
INV000769,206.0,AT_RISK
INV000770,,ACTIVE
INV000771,176.0,AT_RISK
INV000772,81.0,AT_RISK
INV000774,169.0,AT_RISK
INV000775,151.0,AT_RISK
INV000776,116.0,AT_RISK
INV000777,121.0,AT_RISK
INV000778,182.0,AT_RISK
INV000779,153.0,AT_RISK
INV000780,,ACTIVE
INV000781,191.0,AT_RISK
INV000782,105.0,AT_RISK
INV000783,187.0,AT_RISK
INV000784,435.0,AT_RISK
INV000785,66.0,AT_RISK
INV000786,199.0,AT_RISK
INV000787,,ACTIVE
INV000788,159.0,AT_RISK
INV000789,225.0,AT_RISK
INV000790,,ACTIVE
INV000791,188.0,AT_RISK
INV000792,271.0,AT_RISK
INV000793,149.0,AT_RISK
INV000794,,ACTIVE
INV000795,,ACTIVE
INV000796,255.0,AT_RISK
INV000797,382.0,AT_RISK
INV000798,,ACTIVE
INV000799,249.0,AT_RISK
INV000800,333.0,AT_RISK
INV000801,131.0,AT_RISK
INV000802,,ACTIVE
INV000803,147.0,AT_RISK
INV000804,261.0,AT_RISK
INV000806,113.0,AT_RISK
INV000808,292.0,AT_RISK
INV000809,262.0,AT_RISK
INV000810,133.0,AT_RISK
INV000811,291.0,AT_RISK
INV000813,319.0,AT_RISK
INV000814,195.0,AT_RISK
INV000815,266.0,AT_RISK
INV000816,216.0,AT_RISK
INV000818,422.0,AT_RISK
INV000819,116.0,AT_RISK
INV000820,207.0,AT_RISK
INV000821,53.0,AT_RISK
INV000822,141.0,AT_RISK
INV000823,69.0,AT_RISK
INV000824,383.0,AT_RISK
INV000825,190.0,AT_RISK
INV000826,398.0,AT_RISK
INV000827,122.0,AT_RISK
INV000828,,ACTIVE
INV000829,194.0,AT_RISK
INV000830,165.0,AT_RISK
INV000831,134.0,AT_RISK
INV000832,251.0,AT_RISK
INV000833,182.0,AT_RISK
INV000834,241.0,AT_RISK
INV000835,,ACTIVE
INV000836,123.0,AT_RISK
INV000837,,ACTIVE
INV000838,176.0,AT_RISK
INV000839,,ACTIVE
INV000840,280.0,AT_RISK
INV000841,277.0,AT_RISK
INV000842,,ACTIVE
INV000843,102.0,AT_RISK
INV000844,151.0,AT_RISK
INV000845,201.0,AT_RISK
INV000846,272.0,AT_RISK
INV000847,75.0,AT_RISK
INV000848,,ACTIVE
INV000849,97.0,AT_RISK
INV000850,60.0,AT_RISK
INV000851,217.0,AT_RISK
INV000852,363.0,AT_RISK
INV000853,193.0,AT_RISK
INV000854,170.0,AT_RISK
INV000855,355.0,AT_RISK
INV000856,128.0,AT_RISK
INV000857,34.0,ACTIVE
INV000858,157.0,AT_RISK
INV000859,264.0,AT_RISK
INV000860,231.0,AT_RISK
INV000861,325.0,AT_RISK
INV000862,372.0,AT_RISK
INV000863,,ACTIVE
INV000864,106.0,AT_RISK
INV000865,99.0,AT_RISK
INV000866,,ACTIVE
INV000867,234.0,AT_RISK
INV000868,,ACTIVE
INV000869,100.0,AT_RISK
INV000870,94.0,AT_RISK
INV000871,,ACTIVE
INV000872,,ACTIVE
INV000873,299.0,AT_RISK
INV000874,149.0,AT_RISK
INV000875,,ACTIVE
INV000876,66.0,AT_RISK
INV000877,159.0,AT_RISK
INV000878,66.0,AT_RISK
INV000879,108.0,AT_RISK
INV000880,274.0,AT_RISK
INV000881,155.0,AT_RISK
INV000882,,ACTIVE
INV000883,257.0,AT_RISK
INV000884,38.0,AT_RISK
INV000885,261.0,AT_RISK
INV000886,,ACTIVE
INV000887,268.0,AT_RISK
INV000888,166.0,AT_RISK
INV000889,263.0,AT_RISK
INV000890,34.0,ACTIVE
INV000891,279.0,AT_RISK
INV000892,302.0,AT_RISK
INV000893,147.0,AT_RISK
INV000894,105.0,AT_RISK
INV000895,306.0,AT_RISK
INV000896,173.0,AT_RISK
INV000897,159.0,AT_RISK
INV000898,5.0,ACTIVE
INV000899,,ACTIVE
INV000900,131.0,AT_RISK
INV000901,95.0,AT_RISK
INV000902,83.0,AT_RISK
INV000904,208.0,AT_RISK
INV000905,,ACTIVE
INV000906,282.0,AT_RISK
INV000907,139.0,AT_RISK
INV000908,57.0,AT_RISK
INV000909,151.0,AT_RISK
INV000910,151.0,AT_RISK
INV000911,,ACTIVE
INV000912,175.0,AT_RISK
INV000913,242.0,AT_RISK
INV000914,170.0,AT_RISK
INV000915,178.0,AT_RISK
INV000916,,ACTIVE
INV000918,56.0,AT_RISK
INV000919,204.0,AT_RISK
INV000920,220.0,AT_RISK
INV000921,290.0,AT_RISK
INV000922,126.0,AT_RISK
INV000923,,ACTIVE
INV000924,,ACTIVE
INV000925,135.0,AT_RISK
INV000926,111.0,AT_RISK
INV000927,74.0,AT_RISK
INV000928,,ACTIVE
INV000929,116.0,AT_RISK
INV000930,118.0,AT_RISK
INV000931,124.0,AT_RISK
INV000933,326.0,AT_RISK
INV000934,59.0,AT_RISK
